Time (s),Message Name,Arbitration ID,Signals
2.853881,MM5_10_TX2_178,0x178,"{'PSIP3': -0.06999999999999318, 'CLU_STAT5': 13, 'PSIP3_STAT': 0, 'CLU_DIAG': 47, 'AX1': 0.0360457150000002, 'MSG_CNT_TX2': 13, 'AX1_STAT': 0, 'CRC_TX2': 166}"
2.854067,MM5_10_TX3_17C,0x17c,"{'AZ': 1.007838875, 'MSG_CNT_TX3': 13, 'AZ_STAT': 0, 'CRC_TX3': 5}"
2.864011,MM5_10_TX1_174,0x174,"{'PSIP1': 0.08500000000000796, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.02125977499999987, 'MSG_CNT_TX1': 14, 'AY1_STAT': 0, 'CRC_TX1': 91}"
2.864239,MM5_10_TX2_178,0x178,"{'PSIP3': -0.13999999999998636, 'CLU_STAT5': 14, 'PSIP3_STAT': 0, 'CLU_DIAG': 32, 'AX1': 0.03579078499999966, 'MSG_CNT_TX2': 14, 'AX1_STAT': 0, 'CRC_TX2': 62}"
2.864425,MM5_10_TX3_17C,0x17c,"{'AZ': 1.0066916900000002, 'MSG_CNT_TX3': 14, 'AZ_STAT': 0, 'CRC_TX3': 137}"
2.874387,MM5_10_TX1_174,0x174,"{'PSIP1': 0.08500000000000796, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.020877379999999945, 'MSG_CNT_TX1': 15, 'AY1_STAT': 0, 'CRC_TX1': 202}"
2.874615,MM5_10_TX2_178,0x178,"{'PSIP3': -0.19499999999999318, 'CLU_STAT5': 15, 'PSIP3_STAT': 0, 'CLU_DIAG': 33, 'AX1': 0.0360457150000002, 'MSG_CNT_TX2': 15, 'AX1_STAT': 0, 'CRC_TX2': 231}"
2.874800,MM5_10_TX3_17C,0x17c,"{'AZ': 1.005289575, 'MSG_CNT_TX3': 15, 'AZ_STAT': 0, 'CRC_TX3': 5}"
2.884765,MM5_10_TX1_174,0x174,"{'PSIP1': 0.09999999999999432, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.0211323099999996, 'MSG_CNT_TX1': 0, 'AY1_STAT': 0, 'CRC_TX1': 70}"
2.885000,MM5_10_TX2_178,0x178,"{'PSIP3': -0.15500000000000114, 'CLU_STAT5': 0, 'PSIP3_STAT': 0, 'CLU_DIAG': 51, 'AX1': 0.0370654349999997, 'MSG_CNT_TX2': 0, 'AX1_STAT': 0, 'CRC_TX2': 2}"
2.885182,MM5_10_TX3_17C,0x17c,"{'AZ': 1.003250135, 'MSG_CNT_TX3': 0, 'AZ_STAT': 0, 'CRC_TX3': 246}"
2.893930,MM5_10_TX1_174,0x174,"{'PSIP1': 0.15500000000000114, 'CLU_STAT': 0, 'PSIP1_STAT': 0, 'AY1': 0.020622450000000292, 'MSG_CNT_TX1': 1, 'AY1_STAT': 0, 'CRC_TX1': 104}"
2.894203,MM5_10_TX2_178,0x178,"{'PSIP3': -0.03999999999999204, 'CLU_STAT5': 1, 'PSIP3_STAT': 0, 'CLU_DIAG': 34, 'AX1': 0.03795768999999982, 'MSG_CNT_TX2': 1, 'AX1_STAT': 0, 'CRC_TX2': 120}"
2.894383,MM5_10_TX3_17C,0x17c,"{'AZ': 1.00159309, 'MSG_CNT_TX3': 1, 'AZ_STAT': 0, 'CRC_TX3': 110}"
